FILENAME,DATE-OBS,NCYCLES,CYCLIND,NSEQ,SEQINDEX,NFRAMES,FRAMEIND,EXPTIME,OVERHEAD
20250703_s4c1_000001.fits,2025-07-04T12:45:45.553923,1,1,1,1,3,1,1.5,-1.1020610000000002
20250703_s4c1_000002.fits,2025-07-04T12:45:47.061862,1,1,1,1,3,2,1.5,-1.1176840000000001
20250703_s4c1_000003.fits,2025-07-04T12:45:48.554178,1,1,1,1,3,3,1.5,3079.862004
20250703_s4c1_000004.fits,2025-07-04T13:37:11.026182,5,1,1,1,5,1,1e-05,-0.018878000000000172
20250703_s4c1_000005.fits,2025-07-04T13:37:12.117314,5,1,1,1,5,2,1e-05,-0.003998000000000168
20250703_s4c1_000006.fits,2025-07-04T13:37:13.223326,5,1,1,1,5,3,1e-05,0.008046999999999915
20250703_s4c1_000007.fits,2025-07-04T13:37:14.341383,5,1,1,1,5,4,1e-05,-0.002503000000000144
20250703_s4c1_000008.fits,2025-07-04T13:37:15.448890,5,1,1,1,5,5,1e-05,-0.9060050000000002
20250703_s4c1_000009.fits,2025-07-04T13:37:15.652895,5,2,1,1,5,1,1e-05,-0.023510000000000142
20250703_s4c1_000010.fits,2025-07-04T13:37:16.739395,5,2,1,1,5,2,1e-05,-0.005503000000000258
20250703_s4c1_000011.fits,2025-07-04T13:37:17.843902,5,2,1,1,5,3,1e-05,0.0064949999999999175
20250703_s4c1_000012.fits,2025-07-04T13:37:18.960407,5,2,1,1,5,4,1e-05,-0.006500000000000172
20250703_s4c1_000013.fits,2025-07-04T13:37:20.063917,5,2,1,1,5,5,1e-05,-0.906012
20250703_s4c1_000014.fits,2025-07-04T13:37:20.267915,5,3,1,1,5,1,1e-05,-0.025987000000000204
20250703_s4c1_000015.fits,2025-07-04T13:37:21.351938,5,3,1,1,5,2,1e-05,0.007989999999999942
20250703_s4c1_000016.fits,2025-07-04T13:37:22.469938,5,3,1,1,5,3,1e-05,-0.0135050000000001
20250703_s4c1_000017.fits,2025-07-04T13:37:23.566443,5,3,1,1,5,4,1e-05,0.0040079999999997895
20250703_s4c1_000018.fits,2025-07-04T13:37:24.680461,5,3,1,1,5,5,1e-05,-0.908012
20250703_s4c1_000019.fits,2025-07-04T13:37:24.882459,5,4,1,1,5,1,1e-05,-0.018498000000000125
20250703_s4c1_000020.fits,2025-07-04T13:37:25.973971,5,4,1,1,5,2,1e-05,-0.003030000000000088
20250703_s4c1_000021.fits,2025-07-04T13:37:27.080951,5,4,1,1,5,3,1e-05,-0.0049480000000001745
20250703_s4c1_000022.fits,2025-07-04T13:37:28.186013,5,4,1,1,5,4,1e-05,0.004885999999999946
20250703_s4c1_000023.fits,2025-07-04T13:37:29.300909,5,4,1,1,5,5,1e-05,-0.9033010000000001
20250703_s4c1_000024.fits,2025-07-04T13:37:29.507618,5,5,1,1,5,1,1e-05,-0.030498000000000136
20250703_s4c1_000025.fits,2025-07-04T13:37:30.587130,5,5,1,1,5,2,1e-05,0.011716999999999755
20250703_s4c1_000026.fits,2025-07-04T13:37:31.708857,5,5,1,1,5,3,1e-05,-0.008535000000000181
20250703_s4c1_000027.fits,2025-07-04T13:37:32.810332,5,5,1,1,5,4,1e-05,0.005008999999999819
20250703_s4c1_000028.fits,2025-07-04T13:37:33.925351,5,5,1,1,5,5,1e-05,9.771490000000002
20250703_s4c1_000029.fits,2025-07-04T13:37:44.806851,5,1,1,1,5,1,1e-05,0.023990000000000004
20250703_s4c1_000030.fits,2025-07-04T13:37:44.869851,5,1,1,1,5,2,1e-05,0.024989000000000004
20250703_s4c1_000031.fits,2025-07-04T13:37:44.933850,5,1,1,1,5,3,1e-05,0.022992
20250703_s4c1_000032.fits,2025-07-04T13:37:44.995852,5,1,1,1,5,4,1e-05,0.023988000000000002
20250703_s4c1_000033.fits,2025-07-04T13:37:45.058850,5,1,1,1,5,5,1e-05,0.16299
20250703_s4c1_000034.fits,2025-07-04T13:37:45.260850,5,2,1,1,5,1,1e-05,0.024992000000000007
20250703_s4c1_000035.fits,2025-07-04T13:37:45.324852,5,2,1,1,5,2,1e-05,0.024990000000000005
20250703_s4c1_000036.fits,2025-07-04T13:37:45.388852,5,2,1,1,5,3,1e-05,0.022987999999999995
20250703_s4c1_000037.fits,2025-07-04T13:37:45.450850,5,2,1,1,5,4,1e-05,0.023990000000000004
20250703_s4c1_000038.fits,2025-07-04T13:37:45.513850,5,2,1,1,5,5,1e-05,0.16499199999999997
20250703_s4c1_000039.fits,2025-07-04T13:37:45.717852,5,3,1,1,5,1,1e-05,0.024517000000000004
20250703_s4c1_000040.fits,2025-07-04T13:37:45.781379,5,3,1,1,5,2,1e-05,0.025988000000000004
20250703_s4c1_000041.fits,2025-07-04T13:37:45.846377,5,3,1,1,5,3,1e-05,0.025988000000000004
20250703_s4c1_000042.fits,2025-07-04T13:37:45.911375,5,3,1,1,5,4,1e-05,0.022990999999999998
20250703_s4c1_000043.fits,2025-07-04T13:37:45.973376,5,3,1,1,5,5,1e-05,0.16299699999999998
20250703_s4c1_000044.fits,2025-07-04T13:37:46.175383,5,4,1,1,5,1,1e-05,0.023982999999999997
20250703_s4c1_000045.fits,2025-07-04T13:37:46.238376,5,4,1,1,5,2,1e-05,0.028426
20250703_s4c1_000046.fits,2025-07-04T13:37:46.305812,5,4,1,1,5,3,1e-05,0.026709000000000004
20250703_s4c1_000047.fits,2025-07-04T13:37:46.371531,5,4,1,1,5,4,1e-05,0.024987000000000002
20250703_s4c1_000048.fits,2025-07-04T13:37:46.435528,5,4,1,1,5,5,1e-05,0.16399
20250703_s4c1_000049.fits,2025-07-04T13:37:46.638528,5,5,1,1,5,1,1e-05,0.023991000000000005
20250703_s4c1_000050.fits,2025-07-04T13:37:46.701529,5,5,1,1,5,2,1e-05,0.024989000000000004
20250703_s4c1_000051.fits,2025-07-04T13:37:46.765528,5,5,1,1,5,3,1e-05,0.024990000000000005
20250703_s4c1_000052.fits,2025-07-04T13:37:46.829528,5,5,1,1,5,4,1e-05,0.023991000000000005
20250703_s4c1_000053.fits,2025-07-04T13:37:46.892529,5,5,1,1,5,5,1e-05,9914.226449
20250704_s4c1_000054.fits,2025-07-04T16:23:01.157988,1,1,1,1,1,1,1.5,1575.365569
